000008a0,00000006,47884
000008a8,00000001,48132
000008b4,00000001,48259
000008bc,00000002,48324
000008b4,00000001,48595
000008a0,00000006,49008
00000864,00000004,49482
0000089c,00000015,50009
000008a0,00000006,50489
0000087c,00000002,50733
000008bc,00000002,51097
000008d0,00000002,51519
00000878,0000000d,52560
000008f8,00000001,52814
00000908,00000002,52860
00000864,00000004,52885
000008d0,00000002,52895
00000900,00000001,53172
0000089c,0000048e,53360
000008c8,000005c9,53449
00000904,00000002,53584
000008e8,00000002,53790
000008c8,000005c9,54205
000008bc,00000002,54353
000008a8,00000001,54686
000008f8,00000001,55125
00000890,00000003,55347
000008c8,000005c9,55644
000008b4,00000001,55727
00000858,00000002,56159
000008f4,00000008,56381
00000900,00000001,56754
0000089c,00000015,57204
00000858,00000002,57640
0000089c,00000015,57887
0000087c,00000002,58222
00000864,00000004,58641
00000858,00000002,58848
00000858,00000002,58953
000008bc,00000002,59006
000008f8,00000001,59032
000008b4,00000001,59046
00000888,00000003,59327
00000904,00000002,59466
0000087c,00000002,59808
00000890,00000003,60252
00000900,00000001,60472
000008e8,00000002,61048
000008e8,00000002,61384
000008dc,00000006,61828
00000864,00000004,62286
000008c8,000005c9,62335
00000908,00000002,62786
0000089c,00000015,63296
00000864,00000004,63525
000008f8,00000001,63885
000008b4,00000001,64067
00000888,00000003,64400
00000878,0000000d,64576
000008bc,00000002,64888
00000888,00000003,65051
00000858,00000002,65371
000008dc,00000006,65536
000008bc,00000002,65613
000008b4,00000001,65653
000008b4,00000001,65674
00000858,00000002,65686
00000890,00000003,65693
000008a0,00000006,65971
00000908,00000002,66105
0000087c,00000002,66446
0000089c,00000015,66636
00000904,00000002,66703
00000904,00000002,67018
000008a8,00000001,67175
00000878,0000000d,67538
000008bc,00000002,67703
00000878,0000000d,68042
000008a0,00000006,68471
0000087c,00000002,68925
00000864,00000004,69428
000008b4,00000001,69676
000008b4,00000001,69802
00000904,00000002,70106
00000878,0000000d,70269
000008e8,00000002,70606
00000908,00000002,71052
000008b4,00000001,71514
000008bc,00000002,71747
000008b4,00000001,72102
000008a0,00000006,72525
00000888,00000003,72971
00000908,00000002,73195
0000089c,00000015,73327
00000864,00000004,73367
000008a8,00000001,73393
000008bc,00000002,73417
00000878,0000000d,73420
000008dc,00000006,73697
0000089c,00000015,74122
00000864,00000004,74582
000008a8,00000001,74818
00000878,0000000d,74950
000008a8,00000001,75238
000008b4,00000001,75628
000008e8,00000002,76096
00000900,00000001,76329
00000900,00000001,76686
000008a0,00000006,76870
000008dc,00000006,76960
00000888,00000003,77274
000008f8,00000001,77431
000008d0,00000002,77512
000008b4,00000001,77823
0000089c,00000015,78239
0000087c,00000002,78690
0000089c,00000015,79216
000008a8,00000001,79450
00000904,00000002,79818
000008dc,00000006,80006
00000908,00000002,80334
000008f8,00000001,80771
000008dc,00000006,81235
000008d0,00000002,81461
00000858,00000002,81816
000008b4,00000001,81993
00000878,0000000d,82334
00000858,00000002,82488
00000908,00000002,82571
00000908,00000002,82613
000008a0,00000006,82878
0000086c,00000002,83005
00000888,00000003,83072
000008f4,00000008,83382
00000864,00000004,83531
000008e8,00000002,83606
000008bc,00000002,83665
00000908,00000002,83947
000008d0,00000002,84360
00000908,00000002,84567
00000904,00000002,84671
000008f8,00000001,84962
000008c8,000005c9,85124
0000087c,00000002,85349
0000089c,00000015,85833
00000904,00000002,86047
000008b4,00000001,86163
00000890,00000003,86224
000008e8,00000002,86253
000008a0,00000006,86544
00000888,00000003,86685
000008d0,00000002,87028
00000888,00000003,87473
00000888,00000003,87935
0000087c,00000002,88437
0000087c,00000002,88689
0000086c,00000002,89055
00000888,00000003,89479
0000089c,00000015,89709
0000089c,00000015,90087
00000888,00000003,90498
000008b4,00000001,90711
000008d0,00000002,90820
000008d0,00000002,91114
00000864,00000004,91503
00000890,00000003,91696
00000878,0000000d,92260
000008f8,00000001,92388
00000908,00000002,92413
000008b4,00000001,92696
0000087c,00000002,93111
0000089c,0000050c,93354
000008b4,00000001,93589
000008c8,000005c9,93821
00000904,00000002,93830
00000864,00000004,94192
00000864,00000004,94612
000008c8,0000ca82,94861
00000908,00000002,95060
000008d0,00000002,95557
000008b4,00000001,95805
000008a8,00000001,95930
000008a8,00000001,95993
00000908,00000002,96026
00000878,0000000d,96325
00000908,00000002,96730
000008f8,00000001,97209
0000087c,00000002,97722
00000890,00000003,98219
000008bc,00000002,98706
00000858,00000002,99672
00000904,00000002,100153
000008a0,00000006,100398
00000878,0000000d,100526
00000864,00000004,100578
000008bc,00000002,100607
00000890,00000003,100624
000008c8,000005c9,100669
0000086c,00000002,100903
000008e8,00000002,101315
000008b4,00000001,101792
00000890,00000003,102305
000008b4,00000001,102559
00000858,00000002,102928
0000087c,00000002,103352
0000087c,00000002,103804
00000904,00000002,104302
0000087c,00000002,104791
00000900,00000001,105035
000008e8,00000002,105159
00000878,0000000d,105232
00000864,00000004,105494
000008bc,00000002,105628
000008e8,00000002,105968
000008f4,00000008,106416
0000087c,00000002,106871
0000087c,00000002,107102
000008e8,00000002,107218
00000904,00000002,107516
000008a8,00000001,107904
000008e8,00000002,108100
00000900,00000001,108197
000008d0,00000002,108487
000008bc,00000002,108632
00000858,00000002,108705
000008f4,00000008,108748
000008dc,00000006,108765
00000878,0000000d,108782
0000089c,00000015,109067
00000908,00000002,109187
00000890,00000003,109258
00000904,00000002,109564
000008e8,00000002,109718
0000089c,00000015,110086
000008dc,00000006,110246
00000900,00000001,110329
00000904,00000002,110646
00000900,00000001,111043
000008f4,00000008,111521
00000858,00000002,111751
00000864,00000004,112111
00000858,00000002,112528
000008b4,00000001,112737
000008a8,00000001,113114
000008a8,00000001,113303
00000908,00000002,113399
00000888,00000003,113448
000008f8,00000001,113710
000008bc,00000002,114115
0000086c,00000002,114589
0000089c,00000015,115117
000008b4,00000001,115352
000008bc,00000002,115785
0000087c,00000002,116177
000008b4,00000001,116644
00000864,00000004,117153
000008bc,00000002,117644
00000890,00000003,117892
0000087c,00000002,118015
000008dc,00000006,118712
00000858,00000002,118904
000008d0,00000002,119274
00000900,00000001,119698
000008c8,000005c9,119796
00000858,00000002,119912
00000878,0000000d,120084
00000900,00000001,120339
00000888,00000003,120475
000008a0,00000006,120817
000008b4,00000001,120982
00000908,00000002,121308
000008e8,00000002,121471
0000086c,00000002,121553
00000858,00000002,121866
000008b4,00000001,122022
00000888,00000003,122103
00000878,0000000d,122153
000008bc,00000002,122402
000008dc,00000006,122808
000008dc,00000006,123281
00000908,00000002,123514
000008d0,00000002,123633
000008b4,00000001,123692
0000089c,00000015,123982
000008e8,00000002,124370
00000904,00000002,124574
000008e8,00000002,124948
00000864,00000004,125377
00000888,00000003,125590
000008f4,00000008,125974
000008f8,00000001,126157
000008f4,00000008,126499
000008f4,00000008,126667
0000087c,00000002,126985
0000089c,00000015,127438
0000086c,00000002,127876
00000858,00000002,128105
000008b4,00000001,128219
00000888,00000003,128279
00000864,00000004,128549
000008b4,00000001,128681
000008e8,00000002,128750
000008f4,00000008,129062
000008b4,00000001,129448
00000900,00000001,129645
00000908,00000002,129795
00000904,00000002,130193
0000086c,00000002,130260
000008e8,00000002,130294
000008a8,00000001,130550
000008dc,00000006,130749
00000888,00000003,130779
00000864,00000004,130797
000008b4,00000001,130803
000008e8,00000002,130809
