00000844,00000001,239426
000007f0,00000001,239524
000007f0,00000001,239813
00000838,00000001,239958
000007cc,00000002,240032
000007f0,00000001,240068
00000848,00000001,240097
00000804,00000011,240103
000007f0,00000001,240374
00000808,00000001,240513
00000818,00000011,240599
00000820,00000001,240890
00000828,00000002,241045
000007d8,00000001,241393
000007cc,00000002,241569
000007f0,00000001,241656
00000840,00000001,241972
000007f0,00000001,242370
00000848,00000001,242841
00000840,00000001,243077
00000844,00000001,243435
000007d4,0000000a,243863
00000810,00000002,244065
00000828,00000002,244442
00000838,00000001,244630
00000804,00000011,244741
000007d8,00000001,244773
00000834,00000007,245043
00000810,00000002,245442
000008ec,00000001,245915
000008e8,00000007,246430
000008e8,00000007,246685
000008a4,00000001,246807
00000888,0000000a,247120
00000804,00010d32,247148
0000088c,00000001,247503
000008ac,00000002,247972
00000880,00000002,248478
00000880,00000002,248971
000008d4,00000001,249217
000008f8,00000001,249341
000008dc,00000002,249644
000008a4,00000001,250034
000008ec,00000001,250230
000008cc,00000011,250616
000008cc,00000011,251041
00000880,00000002,251239
000008cc,00000011,251415
000008a4,00000001,251666
00000910,00000001,251800
000008dc,00000002,252140
000008dc,00000002,252310
000008ec,00000001,252634
0000088c,00000001,252879
000008d4,00000001,253192
000008f4,00000001,253349
000008b8,000007ff,253391
000008c4,00000002,253429
000008f4,00000001,253468
00000888,0000000a,253737
0000088c,00000001,254603
000008b8,000007ff,254843
00000888,0000000a,254849
00000888,0000000a,254968
000008dc,00000002,255020
000008cc,00000011,255305
000008c4,00000002,255697
00000880,00000002,255901
000008b8,000007ff,256176
00000880,00000002,256275
0000088c,00000001,256701
000008ec,00000001,256915
00000880,00000002,257295
000008a4,00000001,257484
000008fc,00000001,257819
000008bc,00000001,257987
000008c4,00000002,258312
00000878,00000001,258745
000008f8,00000001,259202
00000888,0000000a,259555
000008cc,00000011,259620
000008f8,00000001,260008
000008f8,00000001,260076
000008f8,00000001,260382
00000878,00000001,260775
000008d4,00000001,260972
000008bc,00000001,261071
000008fc,00000001,261386
000008b8,000007ff,261477
000008ec,00000001,261519
000008e8,00000007,261592
000008e8,00000007,261626
000008f4,00000001,261877
000008b8,000007ff,261919
000008bc,00000001,262006
000008f4,00000001,262071
000008ec,00000001,262104
000008ec,00000001,262121
000008ac,00000002,262131
000008d4,00000001,262135
000008ec,00000001,262138
000008f8,00000001,262140
000008fc,00000001,262413
00000878,00000001,262550
00000880,00000002,262620
00000888,0000000a,262663
0000088c,00000001,262672
000008e8,00000007,262959
00000878,00000001,263094
0000088c,00000001,263165
000008b8,000007ff,263167
000008ac,00000002,263202
000008c4,00000002,263460
00000880,00000002,263861
000008f8,00000001,264061
000008bc,00000001,264162
000008bc,00000001,264213
000008fc,00000001,264239
000008e8,00000007,264530
00000888,0000000a,264676
000008c4,00000002,265048
000008dc,00000002,265442
000008a4,00000001,265910
000008dc,00000002,266146
000008d4,00000001,266263
0000088c,00000001,266562
00000878,00000001,266712
000008b8,000007ff,266785
000008bc,00000001,267059
000008dc,00000002,267234
000008f8,00000001,267560
000008cc,00000011,267740
000008c4,00000002,268047
000008cc,00000011,268495
000008ac,00000002,268697
000008e8,00000007,268811
000008fc,00000001,268860
000008d4,00000001,268888
000008bc,00000001,269174
000008f4,00000001,269589
00000880,00000002,269798
0000088c,00000001,270173
000008fc,00000001,270601
