00000924,00000001,123632
00000924,00000001,123692
000008c4,00000002,123963
000008f4,0000a598,124206
00000908,00000006,124374
000008f4,000004bb,124486
0000092c,00000001,124573
00000880,00000002,124948
000008d0,00000014,125393
0000088c,00000004,125591
00000880,00000002,125968
00000934,00000002,126158
00000914,00000002,126493
00000894,00000002,126661
000008c4,00000002,126985
000008e0,00000004,127421
000008c4,00000002,127876
00000920,00000008,128111
000008e8,00000002,128220
000008d4,00000002,128278
000008c4,00000002,128547
0000088c,00000004,128684
000008e0,00000004,128752
00000920,00000008,129062
000008d4,00000002,129449
00000914,00000002,129646
00000908,00000006,129749
000008a0,0000000c,129805
000008d4,00000002,130060
0000088c,00000004,130195
000008d4,00000002,130260
00000894,00000002,130294
00000934,00000002,130551
000008d4,00000002,130680
00000908,00000006,130749
000008c4,00000002,130778
000008fc,00000002,130804
000008a0,0000000c,130805
0000092c,00000001,130808
00000880,00000002,130812
00000894,00000002,130814
000008a4,00000002,131087
0000088c,00000004,131226
000008e8,00000002,131293
000008bc,00000004,131330
000008a0,0000000c,131356
000008a4,00000002,131627
000008bc,00000004,131770
00000924,00000001,131838
000008fc,00000002,131875
00000934,00000002,132133
00000880,00000002,132534
0000088c,00000004,132737
00000894,00000002,132836
00000908,00000006,132891
00000934,00000002,132913
000008a4,00000002,133198
00000924,00000001,133340
000008d4,00000002,133413
00000924,00000001,133720
000008e8,00000002,134115
000008f4,0000a598,134454
000008d4,00000002,134584
000008a0,0000000c,134829
0000088c,00000004,134939
00000880,00000002,135236
000008e8,00000002,135386
000008c4,00000002,135733
00000880,00000002,135907
000008d0,00000014,136252
00000908,00000006,136724
00000920,00000008,137159
000008fc,00000002,137370
0000088c,00000004,137481
00000924,00000001,137533
000008a4,00000002,137562
000008f4,000004bb,137607
000008e8,00000002,137848
00000914,00000002,138263
00000894,00000002,138471
00000930,00000002,138847
000008c4,00000002,139275
000008e0,00000004,139731
000008d4,00000002,140228
00000930,00000002,140478
000008fc,00000002,140843
00000920,00000008,141032
000008d0,00000014,141136
000008bc,00000004,141438
00000908,00000006,141839
00000908,00000006,142039
000008bc,00000004,142409
00000908,00000006,143290
00000880,00000002,143513
00000914,00000002,143627
000008f4,000004bb,144042
00000880,00000002,144073
00000920,0000000c,144158
00000894,00000002,144186
0000088c,00000004,144447
000008d4,00000002,144912
0000092c,00000001,145080
000008f4,000004bb,145133
00000894,00000002,145166
000008bc,00000004,145211
000008d0,00000014,145249
00000934,00000002,145514
0000088c,00000004,145658
000008f4,000004bb,145784
000008a4,00000002,145999
00000924,00000001,146170
00000894,00000002,146497
000008c4,00000002,146932
000008a4,00000002,147150
000008bc,00000004,147533
00000924,00000001,147721
0000088c,00000004,147820
0000088c,00000004,148140
0000088c,00000004,148540
00000894,00000002,149010
000008e8,00000002,149518
000008a4,00000002,150012
00000880,00000002,150499
000008a4,00000002,150743
000008c4,00000002,151105
00000924,00000001,151525
000008d0,00000014,151755
00000908,00000006,151847
000008c4,00000002,152136
00000908,00000006,152287
000008d0,00000014,152375
000008bc,00000004,152668
00000880,00000002,152821
00000930,00000002,152899
000008e0,00000004,153212
000008bc,00000004,153368
00000920,00000008,153722
00000920,00000008,154393
00000934,00000002,154771
00000880,00000002,155203
000008f4,000004bb,155372
00000924,00000001,155658
00000924,00000001,156158
00000920,00000008,156655
00000880,00000002,157134
000008a0,0000000c,157387
00000914,00000002,157499
00000920,00000008,157806
000008c4,00000002,157951
00000894,00000002,158027
000008fc,00000002,158337
00000924,00000001,158731
00000914,00000002,158930
000008bc,00000004,159303
000008a4,00000002,159820
00000880,00000002,159987
000008a4,00000002,160071
00000930,00000002,160385
000008f4,000004bb,160696
00000920,00000008,160788
00000914,00000002,160981
00000914,00000002,161081
00000908,00000006,161375
00000930,00000002,161756
000008d4,00000002,162046
0000092c,00000001,162094
00000894,00000002,162120
00000920,00000008,162139
00000894,00000002,162140
000008c4,00000002,162144
000008e0,00000004,162420
00000930,00000002,162827
000008a0,0000000c,163042
000008c4,00000002,163135
000008f4,000004bb,163158
00000930,00000002,163187
000008a4,00000002,163453
00000930,00000002,163858
0000088c,00000004,164063
000008a0,0000000c,164173
00000914,00000002,164454
00000880,00000002,164600
00000914,00000002,164945
000008d0,00000014,165136
00000914,00000002,165205
00000930,00000002,165249
00000880,00000002,165511
000008a0,0000000c,165924
00000914,00000002,166116
000008d0,00000014,166507
00000914,00000002,166676
000008d4,00000002,166770
000008d0,00000014,167107
00000924,00000001,167248
000008d4,00000002,167601
00000924,00000001,168048
000008e0,00000004,168515
00000908,00000006,169021
000008bc,00000004,169511
00000880,00000002,169995
000008a0,0000000c,170488
000008bc,00000004,170722
00000920,00000008,171087
00000924,00000001,171261
000008d0,00000014,171371
00000908,00000006,171403
00000924,00000001,171661
000008d4,00000002,171794
00000920,00000008,172138
00000924,00000001,172572
0000092c,00000001,172793
000008d4,00000002,172905
000008a4,00000002,172961
0000088c,00000004,173231
000008d0,00000014,173653
00000894,00000002,174110
00000880,00000002,174348
000008d4,00000002,174707
000008d4,00000002,174887
00000930,00000002,175217
000008a4,00000002,175654
000008a0,0000000c,175883
00000908,00000006,175987
000008d4,00000002,176278
00000924,00000001,176425
00000894,00000002,176772
00000924,00000001,177216
00000934,00000002,177440
000008d0,00000014,177866
000008a4,00000002,178236
000008e8,00000002,178702
000008f4,000004bb,178761
00000920,00000008,179213
0000092c,00000001,179459
000008a4,00000002,179587
000008d4,00000002,179651
00000880,00000002,179923
000008d4,00000002,180331
00000908,00000006,180811
000008a0,0000000c,181327
00000880,00000002,181812
000008d4,00000002,182060
000008fc,00000002,182424
00000914,00000002,182846
00000914,00000002,183297
00000880,00000002,183523
00000908,00000006,183880
000008e8,00000002,184053
000008d4,00000002,184142
00000908,00000006,184191
00000924,00000001,184209
000008d4,00000002,184222
000008c4,00000002,184500
0000092c,00000001,184910
000008a0,0000000c,185127
000008d0,00000014,185510
00000920,00000008,185686
000008e0,00000004,186016
000008d4,00000002,186453
0000092c,00000001,186672
00000934,00000002,187055
000008e8,00000002,187486
000008c4,00000002,187702
00000920,00000008,188088
000008bc,00000004,188514
0000093c,00000001,188966
0000092c,00000001,189194
000008d4,00000002,189966
0000092c,00000001,190174
000008a4,00000002,190333
000008bc,00000004,190376
000008a4,00000002,190653
000008f4,000004bb,190758
000008a4,00000002,190793
000008c4,00000002,191135
000008f4,000004bb,191569
00000930,00000002,191578
00000880,00000002,191800
000008a0,0000000c,192193
00000920,00000008,192381
00000880,00000002,192711
00000880,00000002,193151
00000880,00000002,193611
00000894,00000002,194604
000008d4,00000002,194850
00000880,00000002,195213
000008f4,000004bb,195322
00000894,00000002,195395
00000908,00000006,195730
00000934,00000002,195892
00000894,00000002,196215
00000908,00000006,196381
00000914,00000002,196698
00000920,00000008,196865
00000924,00000001,196939
0000092c,00000001,196980
00000930,00000002,197002
000008e0,00000004,197015
00000920,00000008,197025
000008e8,00000002,197294
000008d4,00000002,197432
00000930,00000002,197773
000008e0,00000004,197946
00000920,00000008,198036
000008e8,00000002,198345
000008d4,00000002,198503
000008d4,00000002,198854
000008a4,00000002,199030
000008fc,00000002,199358
000008d4,00000002,199794
00000920,00000008,200258
00000924,00000001,200752
000008d0,00000014,201022
00000894,00000002,201130
000008bc,00000004,201435
0000092c,00000001,201584
000008bc,00000004,201935
00000880,00000002,202379
000008a0,0000000c,202852
00000920,00000008,203080
00000930,00000002,203848
000008d0,00000014,204315
000008fc,00000002,204522
000008bc,00000004,204637
000008f4,000004bb,204639
00000894,00000002,204692
00000880,00000002,204721
00000920,00000008,204742
000008a0,0000000c,204754
00000934,00000002,205020
000008e0,00000004,205432
000008c4,00000002,205907
00000914,00000002,206146
00000914,00000002,206266
00000914,00000002,206566
